Weakness ID,Name,Submission_ReleaseDate,Last Modification_Date
366,Race Condition within a Thread,2006-07-19,2023-10-26
367,Time-of-check Time-of-use (TOCTOU) Race Condition,2006-07-19,2023-06-29
368,Context Switching Race Condition,2006-07-19,2023-06-29
369,Divide By Zero,2008-04-11,2023-06-29
372,Incomplete Internal State Distinction,2006-07-19,2024-02-29
374,Passing Mutable Objects to an Untrusted Method,2006-07-19,2023-06-29
375,Returning a Mutable Object to an Untrusted Caller,2006-07-19,2023-06-29
378,Creation of Temporary File With Insecure Permissions,2006-07-19,2023-10-26
379,Creation of Temporary File in Directory with Insecure Permissions,2006-07-19,2023-10-26
385,Covert Timing Channel,2006-07-19,2024-02-29
386,Symbolic Name not Mapping to Correct Object,2006-07-19,2023-06-29
390,Detection of Error Condition Without Action,2006-07-19,2024-02-29
391,Unchecked Error Condition,2006-07-19,2024-02-29
392,Missing Report of Error Condition,2006-07-19,2024-02-29
393,Return of Wrong Status Code,2006-07-19,2023-10-26
394,Unexpected Status Code or Return Value,2006-07-19,2023-06-29
395,Use of NullPointerException Catch to Detect NULL Pointer Dereference,2006-07-19,2024-02-29
396,Declaration of Catch for Generic Exception,2006-07-19,2023-06-29
397,Declaration of Throws for Generic Exception,2006-07-19,2024-02-29
403,Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak'),2006-07-19,2023-06-29
408,Incorrect Behavior Order: Early Amplification,2006-07-19,2024-02-29
409,Improper Handling of Highly Compressed Data (Data Amplification),2006-07-19,2023-06-29
41,Improper Resolution of Path Equivalence,2006-07-19,2024-02-29
410,Insufficient Resource Pool,2006-07-19,2023-06-29
412,Unrestricted Externally Accessible Lock,2006-07-19,2023-06-29
413,Improper Resource Locking,2006-07-19,2023-10-26
414,Missing Lock Check,2006-07-19,2023-06-29
419,Unprotected Primary Channel,2006-07-19,2023-06-29
420,Unprotected Alternate Channel,2006-07-19,2024-02-29
421,Race Condition During Access to Alternate Channel,2006-07-19,2023-06-29
425,Direct Request ('Forced Browsing'),2006-07-19,2023-06-29
426,Untrusted Search Path,2006-07-19,2023-06-29
427,Uncontrolled Search Path Element,2006-07-19,2023-10-26
428,Unquoted Search Path or Element,2006-07-19,2023-06-29
430,Deployment of Wrong Handler,2006-07-19,2023-06-29
431,Missing Handler,2006-07-19,2023-10-26
434,Unrestricted Upload of File with Dangerous Type,2006-07-19,2024-02-29
437,Incomplete Model of Endpoint Features,2006-07-19,2023-06-29
439,Behavioral Change in New Version or Environment,2006-07-19,2023-06-29
440,Expected Behavior Violation,2006-07-19,2024-02-29
444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),2006-07-19,2023-06-29
447,Unimplemented or Unsupported Feature in UI,2006-07-19,2023-06-29
448,Obsolete Feature in UI,2006-07-19,2023-06-29
449,The UI Performs the Wrong Action,2006-07-19,2023-06-29
454,External Initialization of Trusted Variables or Data Stores,2006-07-19,2023-10-26
455,Non-exit on Failed Initialization,2006-07-19,2023-06-29
459,Incomplete Cleanup,2006-07-19,2023-06-29
463,Deletion of Data Structure Sentinel,2006-07-19,2023-06-29
464,Addition of Data Structure Sentinel,2006-07-19,2023-06-29
466,Return of Pointer Value Outside of Expected Range,2006-07-19,2023-06-29
468,Incorrect Pointer Scaling,2006-07-19,2023-06-29
469,Use of Pointer Subtraction to Determine Size,2006-07-19,2023-06-29
470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),2006-07-19,2023-10-26
472,External Control of Assumed-Immutable Web Parameter,2006-07-19,2023-06-29
474,Use of Function with Inconsistent Implementations,2006-07-19,2023-06-29
475,Undefined Behavior for Input to API,2006-07-19,2023-06-29
476,NULL Pointer Dereference,2006-07-19,2023-10-26
477,Use of Obsolete Function,2006-07-19,2023-06-29
478,Missing Default Case in Multiple Condition Expression,2006-07-19,2023-06-29
480,Use of Incorrect Operator,2006-07-19,2024-02-29
483,Incorrect Block Delimitation,2006-07-19,2023-10-26
484,Omitted Break Statement in Switch,2006-07-19,2023-10-26
487,Reliance on Package-level Scope,2006-07-19,2023-06-29
488,Exposure of Data Element to Wrong Session,2006-07-19,2023-06-29
489,Active Debug Code,2006-07-19,2023-06-29
494,Download of Code Without Integrity Check,2006-07-19,2024-02-29
497,Exposure of Sensitive System Information to an Unauthorized Control Sphere,2006-07-19,2023-10-26
501,Trust Boundary Violation,2006-07-19,2023-06-29
502,Deserialization of Untrusted Data,2006-07-19,2023-06-29
515,Covert Storage Channel,2006-07-19,2023-06-29
521,Weak Password Requirements,2006-07-19,2023-06-29
523,Unprotected Transport of Credentials,2006-07-19,2023-06-29
524,Use of Cache Containing Sensitive Information,2006-07-19,2023-06-29
538,Insertion of Sensitive Information into Externally-Accessible File or Directory,2006-07-19,2023-10-26
544,Missing Standardized Error Handling Mechanism,2006-07-19,2023-06-29
547,"Use of Hard-coded, Security-relevant Constants",2006-07-19,2024-02-29
549,Missing Password Field Masking,2006-07-19,2023-06-29
551,Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,2006-07-19,2023-06-29
552,Files or Directories Accessible to External Parties,2006-07-19,2023-10-26
561,Dead Code,2006-07-19,2024-02-29
562,Return of Stack Variable Address,2006-07-19,2024-02-29
563,Assignment to Variable without Use,2006-07-19,2024-02-29
565,Reliance on Cookies without Validation and Integrity Checking,2006-07-19,2023-10-26
570,Expression is Always False,2006-12-15,2023-06-29
571,Expression is Always True,2006-12-15,2023-06-29
580,clone() Method Without super.clone(),2006-12-15,2023-06-29
581,Object Model Violation: Just One of Equals and Hashcode Defined,2006-12-15,2024-02-29
584,Return Inside Finally Block,2006-12-15,2023-06-29
586,Explicit Call to Finalize(),2006-12-15,2023-06-29
587,Assignment of a Fixed Address to a Pointer,2006-12-15,2024-02-29
59,Improper Link Resolution Before File Access ('Link Following'),2006-07-19,2023-06-29
601,URL Redirection to Untrusted Site ('Open Redirect'),2007-05-07,2024-02-29
603,Use of Client-Side Authentication,2007-05-07,2023-06-29
605,Multiple Binds to the Same Port,2007-05-07,2023-10-26
606,Unchecked Input for Loop Condition,2007-05-07,2023-06-29
609,Double-Checked Locking,2007-05-07,2023-06-29
611,Improper Restriction of XML External Entity Reference,2007-05-07,2023-10-26
613,Insufficient Session Expiration,2007-05-07,2023-06-29
617,Reachable Assertion,2007-05-07,2024-02-29
618,Exposed Unsafe ActiveX Method,2007-05-07,2023-06-29
619,Dangling Database Cursor ('Cursor Injection'),2007-05-07,2023-06-29
620,Unverified Password Change,2007-05-07,2023-06-29
624,Executable Regular Expression Error,2007-05-07,2023-06-29
625,Permissive Regular Expression,2007-05-07,2023-06-29
628,Function Call with Incorrectly Specified Arguments,2007-05-07,2023-06-29
639,Authorization Bypass Through User-Controlled Key,2008-01-30,2024-02-29
640,Weak Password Recovery Mechanism for Forgotten Password,2008-01-30,2023-06-29
641,Improper Restriction of Names for Files and Other Resources,2008-01-30,2023-06-29
645,Overly Restrictive Account Lockout Mechanism,2008-01-30,2023-06-29
648,Incorrect Use of Privileged APIs,2008-01-30,2023-06-29
649,Reliance on Obfuscation or Encryption of Security-Relevant Inputs without Integrity Checking,2008-01-30,2023-06-29
653,Improper Isolation or Compartmentalization,2008-01-30,2024-02-29
654,Reliance on a Single Factor in a Security Decision,2008-01-30,2023-10-26
656,Reliance on Security Through Obscurity,2008-01-30,2023-10-26
66,Improper Handling of File Names that Identify Virtual Resources,2006-07-19,2023-10-26
663,Use of a Non-reentrant Function in a Concurrent Context,2008-04-11,2023-10-26
676,Use of Potentially Dangerous Function,2008-04-11,2023-06-29
681,Incorrect Conversion between Numeric Types,2008-04-11,2024-02-29
694,Use of Multiple Resources with Duplicate Identifier,2008-09-09,2024-02-29
695,Use of Low-Level Functionality,2008-09-09,2024-02-29
698,Execution After Redirect (EAR),2008-09-09,2023-10-26
708,Incorrect Ownership Assignment,2008-09-09,2023-06-29
73,External Control of File Name or Path,2006-07-19,2023-10-26
733,Compiler Optimization Removal or Modification of Security-critical Code,2008-10-14,2024-02-29
749,Exposed Dangerous Method or Function,2008-11-24,2023-06-29
756,Missing Custom Error Page,2009-03-10,2023-06-29
76,Improper Neutralization of Equivalent Special Elements,2006-07-19,2023-06-29
763,Release of Invalid Pointer or Reference,2009-05-27,2023-10-26
764,Multiple Locks of a Critical Resource,2009-05-27,2023-06-29
765,Multiple Unlocks of a Critical Resource,2009-05-27,2023-06-29
766,Critical Data Element Declared Public,2009-05-27,2024-02-29
767,Access to Critical Private Variable via Public Method,2009-05-27,2023-06-29
770,Allocation of Resources Without Limits or Throttling,2009-05-27,2024-02-29
771,Missing Reference to Active Allocated Resource,2009-05-27,2023-06-29
772,Missing Release of Resource after Effective Lifetime,2009-05-27,2023-10-26
776,Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion'),2009-07-27,2023-06-29
778,Insufficient Logging,2009-07-27,2023-06-29
779,Logging of Excessive Data,2009-07-27,2023-06-29
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2006-07-19,2023-06-29
783,Operator Precedence Logic Error,2009-07-27,2023-06-29
786,Access of Memory Location Before Start of Buffer,2009-10-29,2024-02-29
787,Out-of-bounds Write,2009-10-29,2024-02-29
788,Access of Memory Location After End of Buffer,2009-10-29,2023-06-29
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2006-07-19,2024-02-29
791,Incomplete Filtering of Special Elements,2009-12-28,2023-06-29
798,Use of Hard-coded Credentials,2010-02-16,2024-02-29
804,Guessable CAPTCHA,2010-02-16,2023-10-26
805,Buffer Access with Incorrect Length Value,2010-02-16,2024-02-29
807,Reliance on Untrusted Inputs in a Security Decision,2010-02-16,2023-06-29
820,Missing Synchronization,2010-09-27,2023-10-26
821,Incorrect Synchronization,2010-09-27,2023-06-29
822,Untrusted Pointer Dereference,2010-09-27,2023-06-29
823,Use of Out-of-range Pointer Offset,2010-09-27,2023-06-29
824,Access of Uninitialized Pointer,2010-09-27,2023-06-29
825,Expired Pointer Dereference,2010-09-27,2023-06-29
826,Premature Release of Resource During Expected Lifetime,2010-09-27,2023-10-26
829,Inclusion of Functionality from Untrusted Control Sphere,2010-12-13,2023-06-29
832,Unlock of a Resource that is not Locked,2010-12-13,2023-06-29
833,Deadlock,2010-12-13,2023-06-29
835,Loop with Unreachable Exit Condition ('Infinite Loop'),2011-03-30,2024-02-29
836,Use of Password Hash Instead of Password for Authentication,2011-03-30,2023-06-29
837,"Improper Enforcement of a Single, Unique Action",2011-03-30,2023-10-26
838,Inappropriate Encoding for Output Context,2011-03-30,2023-06-29
839,Numeric Range Comparison Without Minimum Check,2011-03-30,2023-10-26
841,Improper Enforcement of Behavioral Workflow,2011-03-30,2023-06-29
842,Placement of User into Incorrect Group,2011-03-30,2023-06-29
843,Access of Resource Using Incompatible Type ('Type Confusion'),2011-06-01,2023-10-26
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),2006-07-19,2023-06-29
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),2006-07-19,2024-02-29
90,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),2006-07-19,2024-02-29
908,Use of Uninitialized Resource,2013-02-21,2023-06-29
909,Missing Initialization of Resource,2013-02-21,2023-10-26
91,XML Injection (aka Blind XPath Injection),2006-07-19,2023-06-29
910,Use of Expired File Descriptor,2013-02-21,2023-06-29
911,Improper Update of Reference Count,2013-02-21,2023-06-29
914,Improper Control of Dynamically-Identified Variables,2013-02-21,2023-10-26
915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,2013-02-21,2024-02-29
916,Use of Password Hash With Insufficient Computational Effort,2013-02-21,2024-02-29
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),2013-02-21,2023-06-29
918,Server-Side Request Forgery (SSRF),2013-02-21,2023-06-29
920,Improper Restriction of Power Consumption,2013-07-17,2023-06-29
921,Storage of Sensitive Data in a Mechanism without Access Control,2013-07-17,2023-06-29
924,Improper Enforcement of Message Integrity During Transmission in a Communication Channel,2013-07-17,2023-06-29
93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),2006-07-19,2023-06-29
939,Improper Authorization in Handler for Custom URL Scheme,2014-02-19,2023-06-29
94,Improper Control of Generation of Code ('Code Injection'),2006-07-19,2024-02-29
940,Improper Verification of Source of a Communication Channel,2014-02-19,2023-06-29
941,Incorrectly Specified Destination in a Communication Channel,2014-02-19,2023-06-29
